fromId,toId,fromGroupArtifact,toGroupArtifact,confidence,ruleFreq,relativeRuleFreq,concurrence,concurrenceAdjustment,commitDistance,apiSupport
1,60470,mysql:mysql-connector-java,postgresql:postgresql,0.16261794999898388,41,0.9534883720930233,366,0.11202185792349727,0.81107877203427,0.6
1,107,mysql:mysql-connector-java,com.h2database:h2,0.09828134212721516,43,1.0,527,0.08159392789373814,0.6664740842409815,0.6
1,219,mysql:mysql-connector-java,org.postgresql:postgresql,0.07045824624947178,18,0.4186046511627907,74,0.24324324324324326,0.6637673419536164,0.6
1,60378,mysql:mysql-connector-java,org.hsqldb:hsqldb,0.047290264839046754,29,0.6744186046511628,518,0.055984555984555984,0.6185377778972823,0.6
1,60591,mysql:mysql-connector-java,hsqldb:hsqldb,0.04124269111077766,21,0.4883720930232558,333,0.06306306306306306,0.6588954374668662,0.6
1,382,mysql:mysql-connector-java,org.xerial:sqlite-jdbc,0.04065142847523656,10,0.23255813953488372,100,0.1,0.8447619047619046,0.6
1,62601,mysql:mysql-connector-java,eu.medsea.mimeutil:mime-util,0.03483692021338126,8,0.18604651162790697,15,0.5333333333333333,0.5753360888149078,0.6
1,10,mysql:mysql-connector-java,com.google.guava:guava,0.033900983075846804,33,0.7674418604651163,575,0.057391304347826085,0.4614307835296474,0.75
1,60252,mysql:mysql-connector-java,javax.servlet:javax.servlet-api,0.03211133824013002,26,0.6046511627906976,489,0.053169734151329244,0.5452840841176061,0.6
1,60328,mysql:mysql-connector-java,org.codehaus.jackson:jackson-mapper-asl,0.030617174853684842,29,0.6744186046511628,866,0.03348729792147806,0.5659263910214434,0.6
1,264,mysql:mysql-connector-java,org.mongodb:mongo-java-driver,0.027670666155417203,16,0.37209302325581395,197,0.08121827411167512,0.5804072010857635,0.6
1,60423,mysql:mysql-connector-java,org.codehaus.jackson:jackson-core-asl,0.023680789863452255,15,0.3488372093023256,400,0.0375,0.6727304112936398,0.6
1,60550,mysql:mysql-connector-java,org.springframework.data:spring-data-mongodb,0.023641137245927788,10,0.23255813953488372,114,0.08771929824561403,0.6656666666666667,0.6
1,60305,mysql:mysql-connector-java,org.apache.logging.log4j:log4j-core,0.021713223993074685,9,0.20930232558139536,59,0.15254237288135594,0.5855846612149133,0.6
1,60335,mysql:mysql-connector-java,org.apache.logging.log4j:log4j-api,0.020861540704477897,8,0.18604651162790697,51,0.1568627450980392,0.6045673076923077,0.6
1,37,mysql:mysql-connector-java,com.fasterxml.jackson.core:jackson-databind,0.02073009879931559,20,0.46511627906976744,247,0.08097165991902834,0.44967510292083873,0.6
1,60760,mysql:mysql-connector-java,javax.servlet:jstl,0.019844696817746307,25,0.5813953488372093,1427,0.01751927119831815,0.5769917932672102,0.6
1,60981,mysql:mysql-connector-java,org.hibernate:hibernate,0.019095853351225833,10,0.23255813953488372,288,0.034722222222222224,0.7542478354978355,0.6
1,60218,mysql:mysql-connector-java,commons-io:commons-io,0.018702676087471903,29,0.6744186046511628,981,0.029561671763506627,0.4563174162535771,0.6
1,15,mysql:mysql-connector-java,org.mockito:mockito-core,0.018554170839078447,22,0.5116279069767442,214,0.102803738317757,0.3821233913463971,0.6
60304,60981,commons-fileupload:commons-fileupload,org.hibernate:hibernate,0.03763925205430431,10,0.45454545454545453,129,0.07751937984496124,0.6196428571428572,0.6
60304,60601,commons-fileupload:commons-fileupload,com.sun.xml.bind:jaxb-impl,0.03668795731985239,9,0.4090909090909091,97,0.09278350515463918,0.6165188297541238,0.6
60304,60515,commons-fileupload:commons-fileupload,org.mortbay.jetty:jetty,0.03362697943189975,11,0.5,121,0.09090909090909091,0.5366230034333482,0.6
60304,60760,commons-fileupload:commons-fileupload,javax.servlet:jstl,0.03178500699248748,20,0.9090909090909091,852,0.023474178403755867,0.5427778112691907,0.6
