fromLibrary,toLibrary,fromGroupArtifact,toGroupArtifact,inDepSeq,dataConfirmed
saxon,xmlParserAPIs,net.sf.saxon:saxon,xerces:xmlParserAPIs,2,FALSE
saxon,jdom,net.sf.saxon:saxon,org.jdom:jdom,2,FALSE
scannotation,reflectasm,net.sf.scannotation:scannotation,com.esotericsoftware:reflectasm,0,FALSE
scannotation,groovy,net.sf.scannotation:scannotation,org.codehaus.groovy:groovy,0,FALSE
scannotation,guice,net.sf.scannotation:scannotation,org.sonatype.sisu:sisu-guice,0,FALSE
scannotation,groovy,org.scannotation:scannotation,groovy:groovy-all,0,FALSE
scannotation,groovy,net.sf.scannotation:scannotation,org.codehaus.groovy:groovy-all,3,FALSE
scannotation,reflectasm,org.scannotation:scannotation,com.esotericsoftware.reflectasm:reflectasm,0,FALSE
scannotation,groovy,net.sf.scannotation:scannotation,groovy:groovy,0,FALSE
scannotation,objenesis,org.scannotation:scannotation,org.objenesis:objenesis,4,FALSE
scannotation,iogi,org.scannotation:scannotation,br.com.caelum:iogi,0,FALSE
scannotation,reflectasm,org.scannotation:scannotation,com.esotericsoftware:reflectasm,0,FALSE
scannotation,groovy,org.scannotation:scannotation,org.codehaus.groovy:groovy-all,45,FALSE
scannotation,guice,org.scannotation:scannotation,com.google.inject:guice,4,FALSE
scannotation,groovy,org.scannotation:scannotation,groovy:groovy,0,FALSE
scannotation,guice,org.scannotation:scannotation,org.sonatype.sisu:sisu-guice,0,FALSE
scannotation,reflections,net.sf.scannotation:scannotation,org.reflections:reflections,0,FALSE
scannotation,reflectasm,net.sf.scannotation:scannotation,com.esotericsoftware.reflectasm:reflectasm,0,FALSE
scannotation,objenesis,net.sf.scannotation:scannotation,org.objenesis:objenesis,0,FALSE
scannotation,iogi,net.sf.scannotation:scannotation,br.com.caelum:iogi,0,FALSE
scannotation,groovy,org.scannotation:scannotation,org.codehaus.groovy:groovy,2,FALSE
scannotation,groovy,net.sf.scannotation:scannotation,groovy:groovy-all,0,FALSE
scannotation,guice,net.sf.scannotation:scannotation,com.google.inject:guice,2,FALSE
scannotation,reflections,org.scannotation:scannotation,org.reflections:reflections,4,FALSE
scribe,httpclient,org.scribe:scribe,org.apache.httpcomponents:httpclient,6,FALSE
scribe,httpclient,org.scribe:scribe,org.apache.httpcomponents:httpmime,0,FALSE
scribe,httpcore,org.scribe:scribe,org.apache.httpcomponents:httpcore,1,FALSE
scribe,signpost,org.scribe:scribe,oauth.signpost:signpost-core,1,FALSE
scribe,commons-httpclient,org.scribe:scribe,commons-httpclient:commons-httpclient,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-server,httpunit:httpunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-server,org.httpunit:httpunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-server,net.sourceforge.jwebunit:jwebunit,0,FALSE
selenium,jwebunit,org.seleniumhq.selenium:selenium-api,jwebunit:jwebunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-api,org.httpunit:httpunit,20,FALSE
selenium,jwebunit,org.seleniumhq.selenium:selenium-java,jwebunit:jwebunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-java,org.httpunit:httpunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-api,net.sourceforge.jwebunit:jwebunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-api,httpunit:httpunit,2,FALSE
selenium,jwebunit,org.seleniumhq.selenium:selenium-server,jwebunit:jwebunit,0,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-java,httpunit:httpunit,1,FALSE
selenium,httpunit,org.seleniumhq.selenium:selenium-java,net.sourceforge.jwebunit:jwebunit,0,FALSE
shrinkwrap,compress-lzf,org.jboss.shrinkwrap:shrinkwrap-api,com.ning:compress-lzf,1,FALSE
shrinkwrap,commons-compress,org.jboss.shrinkwrap:shrinkwrap-api,org.apache.commons:commons-compress,4,FALSE
shrinkwrap,jzlib,org.jboss.shrinkwrap:shrinkwrap-api,com.jcraft:jzlib,0,FALSE
signpost,httpcore,oauth.signpost:signpost-core,org.apache.httpcomponents:httpcore,8,FALSE
signpost,httpclient,oauth.signpost:signpost-core,org.apache.httpcomponents:httpclient,9,FALSE
signpost,scribe,oauth.signpost:signpost-core,org.scribe:scribe,1,FALSE
signpost,httpclient,oauth.signpost:signpost-core,org.apache.httpcomponents:httpmime,3,TRUE
signpost,commons-httpclient,oauth.signpost:signpost-core,commons-httpclient:commons-httpclient,5,FALSE
simple-xml,nanoxml,org.simpleframework:simple-xml,be.cyberelf.nanoxml:nanoxml,0,FALSE
simple-xml,jdom,org.simpleframework:simple-xml,jdom:jdom,0,FALSE
simple-xml,xmlParserAPIs,org.simpleframework:simple-xml,xerces:xmlParserAPIs,0,FALSE
simple-xml,dom4j,org.simpleframework:simple-xml,org.dom4j:dom4j,1,FALSE
simple-xml,stax2-api,org.simpleframework:simple-xml,org.codehaus.woodstox:stax2-api,0,FALSE
simple-xml,wstx-asl,org.simpleframework:simple-xml,org.codehaus.woodstox:wstx-asl,0,FALSE
simple-xml,xml-writer,org.simpleframework:simple-xml,com.megginson.sax:xml-writer,0,FALSE
simple-xml,dom4j,org.simpleframework:simple-xml,dom4j:dom4j,3,FALSE
simple-xml,saxon,org.simpleframework:simple-xml,net.sf.saxon:saxon,1,FALSE
simple-xml,xmlParserAPIs,org.simpleframework:simple-xml,xml-apis:xmlParserAPIs,0,FALSE
simple-xml,xpp3,org.simpleframework:simple-xml,org.ogce:xpp3,0,FALSE
simple-xml,jdom,org.simpleframework:simple-xml,org.jdom:jdom,1,FALSE
simple-xml,wstx-asl,org.simpleframework:simple-xml,woodstox:wstx-asl,0,FALSE
simple-xml,kxml2,org.simpleframework:simple-xml,net.sf.kxml:kxml2,0,FALSE
simple-xml,xmltooling,org.simpleframework:simple-xml,org.opensaml:xmltooling,0,FALSE
simple-xml,xpp3,org.simpleframework:simple-xml,xpp3:xpp3,5,FALSE
simple-xml,saxon,org.simpleframework:simple-xml,saxon:saxon,0,FALSE
simple-xml,xerces,org.simpleframework:simple-xml,xerces:xercesImpl,2,FALSE
simple-xml,jdom,org.simpleframework:simple-xml,org.jdom:jdom2,0,FALSE
simple-xml,saxon,org.simpleframework:simple-xml,net.sourceforge.saxon:saxon,0,FALSE
simple-xml,xerces,org.simpleframework:simple-xml,xerces:xerces,0,FALSE
simple-xml,xalan,org.simpleframework:simple-xml,xalan:xalan,2,FALSE
simple-xml,kxml2,org.simpleframework:simple-xml,kxml2:kxml2,0,FALSE
simple-xml,jaxen,org.simpleframework:simple-xml,jaxen:jaxen,1,FALSE
simple-xml,xom,org.simpleframework:simple-xml,xom:xom,1,FALSE
simple-xml,stax-utils,org.simpleframework:simple-xml,net.java.dev.stax-utils:stax-utils,0,FALSE
slf4j,log4j,org.slf4j:slf4j-site,log4j:log4j,0,FALSE
slf4j,logback,org.slf4j:slf4j-ext,ch.qos.logback:logback-classic,88,FALSE
slf4j,commons-logging,org.slf4j:slf4j-log4j12,org.apache.logging.log4j:log4j-slf4j-impl,874,TRUE
slf4j,logback,org.slf4j:slf4j-android,ch.qos.logback:logback-core,0,FALSE
slf4j,logback,org.slf4j:slf4j-api,ch.qos.logback:logback-core,344,FALSE
slf4j,commons-logging,org.slf4j:slf4j-jdk14,org.apache.logging.log4j:log4j-slf4j-impl,76,TRUE
slf4j,log4j,org.slf4j:slf4j-api,org.apache.logging.log4j:log4j-api,414,TRUE
slf4j,commons-logging,org.slf4j:slf4j-simple,commons-logging:commons-logging-api,7,FALSE
slf4j,commons-logging,org.slf4j:log4j-over-slf4j,commons-logging:commons-logging,98,TRUE
slf4j,commons-logging,org.slf4j:slf4j-ext,commons-logging:commons-logging,8,FALSE
slf4j,logback,org.slf4j:slf4j-simple,ch.qos.logback:logback-core,108,TRUE
slf4j,log4j,org.slf4j:slf4j-nop,org.apache.logging.log4j:log4j-core,29,FALSE
slf4j,commons-logging,org.slf4j:slf4j-nop,commons-logging:commons-logging,36,FALSE
slf4j,logback,org.slf4j:slf4j-android,ch.qos.logback:logback-classic,1,FALSE
slf4j,commons-logging,org.slf4j:slf4j-android,org.apache.logging.log4j:log4j-slf4j-impl,0,FALSE
slf4j,log4j,org.slf4j:slf4j-site,org.apache.logging.log4j:log4j-api,0,FALSE
slf4j,log4j,org.slf4j:slf4j-jdk14,org.apache.logging.log4j:log4j-api,75,TRUE
slf4j,commons-logging,org.slf4j:slf4j-jcl,commons-logging:commons-logging,45,FALSE
slf4j,commons-logging,org.slf4j:slf4j-jcl,org.apache.logging.log4j:log4j-slf4j-impl,9,TRUE
slf4j,logback,org.slf4j:jcl-over-slf4j,ch.qos.logback:logback-core,199,TRUE
slf4j,logback,org.slf4j:slf4j-jdk14,ch.qos.logback:logback-classic,109,TRUE
slf4j,log4j,org.slf4j:slf4j-jdk14,log4j:log4j,59,TRUE
slf4j,log4j,org.slf4j:slf4j-jcl,org.apache.logging.log4j:log4j-core,11,FALSE
slf4j,log4j,org.slf4j:slf4j-log4j12,org.apache.logging.log4j:log4j-api,848,TRUE
slf4j,log4j,org.slf4j:slf4j-android,org.apache.logging.log4j:log4j-core,0,FALSE
slf4j,logback,org.slf4j:slf4j-log4j12,ch.qos.logback:logback-classic,700,TRUE
slf4j,log4j,org.slf4j:log4j-over-slf4j,org.apache.logging.log4j:log4j-core,97,TRUE
slf4j,commons-logging,org.slf4j:slf4j-api,org.apache.logging.log4j:log4j-slf4j-impl,295,TRUE
slf4j,commons-logging,org.slf4j:slf4j-site,commons-logging:commons-logging,0,FALSE
slf4j,commons-logging,org.slf4j:slf4j-ext,commons-logging:commons-logging-api,0,FALSE
slf4j,commons-logging,org.slf4j:log4j-over-slf4j,commons-logging:commons-logging-api,5,FALSE
slf4j,log4j,org.slf4j:slf4j-ext,org.apache.logging.log4j:log4j-core,2,FALSE
slf4j,log4j,org.slf4j:jcl-over-slf4j,log4j:log4j,384,TRUE
slf4j,log4j,org.slf4j:jcl-over-slf4j,org.apache.logging.log4j:log4j-api,139,TRUE
slf4j,log4j,org.slf4j:slf4j-ext,org.apache.logging.log4j:log4j-api,1,FALSE
slf4j,log4j,org.slf4j:slf4j-nop,log4j:log4j,49,FALSE
slf4j,log4j,org.slf4j:slf4j-simple,log4j:log4j,209,TRUE
slf4j,commons-logging,org.slf4j:slf4j-api,commons-logging:commons-logging,621,TRUE
slf4j,commons-logging,org.slf4j:slf4j-site,org.apache.logging.log4j:log4j-slf4j-impl,0,FALSE
slf4j,commons-logging,org.slf4j:jcl-over-slf4j,commons-logging:commons-logging,349,FALSE
slf4j,commons-logging,org.slf4j:slf4j-jdk14,commons-logging:commons-logging-api,1,FALSE
slf4j,log4j,org.slf4j:slf4j-site,org.apache.logging.log4j:log4j-core,0,FALSE
slf4j,logback,org.slf4j:slf4j-jcl,ch.qos.logback:logback-classic,26,TRUE
slf4j,logback,org.slf4j:slf4j-nop,ch.qos.logback:logback-classic,31,TRUE
slf4j,commons-logging,org.slf4j:slf4j-api,commons-logging:commons-logging-api,22,FALSE
slf4j,commons-logging,org.slf4j:jcl-over-slf4j,org.apache.logging.log4j:log4j-slf4j-impl,141,TRUE
slf4j,logback,org.slf4j:log4j-over-slf4j,ch.qos.logback:logback-classic,308,TRUE
slf4j,commons-logging,org.slf4j:slf4j-log4j12,commons-logging:commons-logging-api,35,FALSE
slf4j,commons-logging,org.slf4j:slf4j-jdk14,commons-logging:commons-logging,93,FALSE
slf4j,logback,org.slf4j:slf4j-site,ch.qos.logback:logback-core,0,FALSE
slf4j,commons-logging,org.slf4j:jcl-over-slf4j,commons-logging:commons-logging-api,1,FALSE
slf4j,commons-logging,org.slf4j:slf4j-android,commons-logging:commons-logging,3,FALSE
slf4j,logback,org.slf4j:jcl-over-slf4j,ch.qos.logback:logback-classic,553,TRUE
slf4j,logback,org.slf4j:slf4j-jdk14,ch.qos.logback:logback-core,92,TRUE
slf4j,commons-logging,org.slf4j:slf4j-nop,commons-logging:commons-logging-api,1,FALSE
slf4j,log4j,org.slf4j:slf4j-jcl,org.apache.logging.log4j:log4j-api,9,FALSE
slf4j,commons-logging,org.slf4j:slf4j-simple,commons-logging:commons-logging,103,TRUE
slf4j,commons-logging,org.slf4j:slf4j-nop,org.apache.logging.log4j:log4j-slf4j-impl,17,FALSE
slf4j,log4j,org.slf4j:slf4j-api,log4j:log4j,1047,TRUE
slf4j,logback,org.slf4j:slf4j-log4j12,ch.qos.logback:logback-core,285,TRUE
slf4j,logback,org.slf4j:log4j-over-slf4j,ch.qos.logback:logback-core,168,FALSE
slf4j,logback,org.slf4j:slf4j-nop,ch.qos.logback:logback-core,6,FALSE
slf4j,log4j,org.slf4j:slf4j-android,org.apache.logging.log4j:log4j-api,0,FALSE
slf4j,log4j,org.slf4j:slf4j-nop,org.apache.logging.log4j:log4j-api,29,TRUE
slf4j,commons-logging,org.slf4j:slf4j-ext,org.apache.logging.log4j:log4j-slf4j-impl,3,FALSE
slf4j,log4j,org.slf4j:jcl-over-slf4j,org.apache.logging.log4j:log4j-core,155,TRUE
slf4j,commons-logging,org.slf4j:slf4j-site,commons-logging:commons-logging-api,0,FALSE
slf4j,commons-logging,org.slf4j:slf4j-android,commons-logging:commons-logging-api,0,FALSE
slf4j,log4j,org.slf4j:slf4j-android,log4j:log4j,0,FALSE
slf4j,log4j,org.slf4j:log4j-over-slf4j,log4j:log4j,75,TRUE
slf4j,logback,org.slf4j:slf4j-site,ch.qos.logback:logback-classic,0,FALSE
slf4j,commons-logging,org.slf4j:slf4j-jcl,commons-logging:commons-logging-api,10,FALSE
slf4j,log4j,org.slf4j:slf4j-jdk14,org.apache.logging.log4j:log4j-core,69,TRUE
slf4j,log4j,org.slf4j:slf4j-simple,org.apache.logging.log4j:log4j-core,60,TRUE
slf4j,logback,org.slf4j:slf4j-jcl,ch.qos.logback:logback-core,3,FALSE
slf4j,log4j,org.slf4j:slf4j-simple,org.apache.logging.log4j:log4j-api,55,TRUE
slf4j,log4j,org.slf4j:slf4j-log4j12,log4j:log4j,1641,TRUE
slf4j,logback,org.slf4j:slf4j-api,ch.qos.logback:logback-classic,868,TRUE
slf4j,logback,org.slf4j:slf4j-ext,ch.qos.logback:logback-core,19,FALSE
slf4j,commons-logging,org.slf4j:slf4j-simple,org.apache.logging.log4j:log4j-slf4j-impl,68,TRUE
slf4j,commons-logging,org.slf4j:log4j-over-slf4j,org.apache.logging.log4j:log4j-slf4j-impl,88,TRUE
slf4j,commons-logging,org.slf4j:slf4j-log4j12,commons-logging:commons-logging,488,TRUE
slf4j,log4j,org.slf4j:slf4j-log4j12,org.apache.logging.log4j:log4j-core,942,TRUE
slf4j,log4j,org.slf4j:slf4j-ext,log4j:log4j,39,FALSE
slf4j,logback,org.slf4j:slf4j-simple,ch.qos.logback:logback-classic,291,TRUE
slf4j,log4j,org.slf4j:slf4j-jcl,log4j:log4j,36,FALSE
slf4j,log4j,org.slf4j:slf4j-api,org.apache.logging.log4j:log4j-core,417,TRUE
slf4j,log4j,org.slf4j:log4j-over-slf4j,org.apache.logging.log4j:log4j-api,79,TRUE
slick,lwjgl,org.slick2d:slick2d-core,org.lwjgl.lwjgl:lwjgl,0,FALSE
slick,lwjgl,org.slick2d:slick2d-core,org.lwjgl:lwjgl,0,FALSE
slick,jbullet,org.slick2d:slick2d-core,cz.advel.jbullet:jbullet,0,FALSE
snakeyaml,jyaml,org.yaml:snakeyaml,org.jyaml:jyaml,2,FALSE
solder,deltaspike,org.jboss.solder:solder-api,org.apache.deltaspike.core:deltaspike-core-impl,0,FALSE
solder,deltaspike,org.jboss.solder:solder-api,org.apache.deltaspike.core:deltaspike-core-api,0,FALSE
solr,elasticsearch,org.apache.solr:solr,org.elasticsearch:elasticsearch-core,0,FALSE
solr,lucene,org.apache.solr:solr,org.apache.lucene:lucene-core,0,FALSE
solr,elasticsearch,org.apache.solr:solr,org.elasticsearch:elasticsearch,0,FALSE
speed4j,perf4j,com.ecyrd.speed4j:speed4j,org.perf4j:perf4j,0,FALSE
sqlite-jdbc,h2,org.wisdom-framework:sqlite-jdbc,com.h2database:h2,0,FALSE
sqlite-jdbc,cassandra,org.wisdom-framework:sqlite-jdbc,org.apache.cassandra:cassandra-all,0,FALSE
sqlite-jdbc,hsqldb,org.wisdom-framework:sqlite-jdbc,org.hsqldb:hsqldb,0,FALSE
sqlite-jdbc,cassandra,org.xerial:sqlite-jdbc,com.datastax.cassandra:cassandra-driver-core,1,FALSE
sqlite-jdbc,cassandra,org.xerial:sqlite-jdbc,org.apache.cassandra:cassandra-all,4,FALSE
sqlite-jdbc,postgresql,org.xerial:sqlite-jdbc,org.postgresql:postgresql,29,TRUE
sqlite-jdbc,derby,org.wisdom-framework:sqlite-jdbc,org.apache.derby:derbyclient,0,FALSE
sqlite-jdbc,hsqldb,org.wisdom-framework:sqlite-jdbc,hsqldb:hsqldb,0,FALSE
sqlite-jdbc,neo4j,org.wisdom-framework:sqlite-jdbc,org.neo4j:neo4j,0,FALSE
sqlite-jdbc,hazelcast,org.wisdom-framework:sqlite-jdbc,com.hazelcast:hazelcast,0,FALSE
sqlite-jdbc,hazelcast,org.wisdom-framework:sqlite-jdbc,com.hazelcast:hazelcast-client,0,FALSE
sqlite-jdbc,neo4j,org.xerial:sqlite-jdbc,org.neo4j:neo4j,0,FALSE
sqlite-jdbc,infinispan,org.wisdom-framework:sqlite-jdbc,org.infinispan:infinispan-core,0,FALSE
sqlite-jdbc,infinispan,org.xerial:sqlite-jdbc,org.infinispan:infinispan-core,14,FALSE
sqlite-jdbc,cassandra,org.wisdom-framework:sqlite-jdbc,com.datastax.cassandra:cassandra-driver-core,0,FALSE
sqlite-jdbc,hbase,org.wisdom-framework:sqlite-jdbc,org.apache.hbase:hbase,0,FALSE
sqlite-jdbc,hbase,org.xerial:sqlite-jdbc,org.apache.hbase:hbase,2,FALSE
sqlite-jdbc,derby,org.xerial:sqlite-jdbc,org.apache.derby:derbyclient,5,FALSE
sqlite-jdbc,postgresql,org.wisdom-framework:sqlite-jdbc,postgresql:postgresql,0,FALSE
sqlite-jdbc,derby,org.wisdom-framework:sqlite-jdbc,org.apache.derby:derby,0,FALSE
sqlite-jdbc,postgresql,org.wisdom-framework:sqlite-jdbc,org.postgresql:postgresql,0,FALSE
sqlite-jdbc,hbase,org.xerial:sqlite-jdbc,org.apache.hbase:hbase-client,7,FALSE
sqlite-jdbc,mongo-java-driver,org.xerial:sqlite-jdbc,org.mongodb:mongo-java-driver,13,FALSE
sqlite-jdbc,h2,org.xerial:sqlite-jdbc,com.h2database:h2,50,TRUE
sqlite-jdbc,postgresql,org.xerial:sqlite-jdbc,postgresql:postgresql,28,FALSE
sqlite-jdbc,mongo-java-driver,org.wisdom-framework:sqlite-jdbc,org.mongodb:mongo-java-driver,0,FALSE
sqlite-jdbc,hbase,org.wisdom-framework:sqlite-jdbc,org.apache.hbase:hbase-server,0,FALSE
sqlite-jdbc,hazelcast,org.xerial:sqlite-jdbc,com.hazelcast:hazelcast-client,2,FALSE
sqlite-jdbc,hsqldb,org.xerial:sqlite-jdbc,hsqldb:hsqldb,0,FALSE
sqlite-jdbc,derby,org.xerial:sqlite-jdbc,org.apache.derby:derby,24,FALSE
sqlite-jdbc,hbase,org.xerial:sqlite-jdbc,org.apache.hbase:hbase-server,4,FALSE
sqlite-jdbc,sqljet,org.wisdom-framework:sqlite-jdbc,org.tmatesoft.sqljet:sqljet,0,FALSE
sqlite-jdbc,sqljet,org.xerial:sqlite-jdbc,org.tmatesoft.sqljet:sqljet,0,FALSE
sqlite-jdbc,hbase,org.wisdom-framework:sqlite-jdbc,org.apache.hbase:hbase-client,0,FALSE
sqlite-jdbc,hsqldb,org.xerial:sqlite-jdbc,org.hsqldb:hsqldb,35,FALSE
sqlite-jdbc,hazelcast,org.xerial:sqlite-jdbc,com.hazelcast:hazelcast,1,FALSE
sqljet,hsqldb,org.tmatesoft.sqljet:sqljet,org.hsqldb:hsqldb,0,FALSE
sqljet,mongo-java-driver,org.tmatesoft.sqljet:sqljet,org.mongodb:mongo-java-driver,0,FALSE
sqljet,derby,org.tmatesoft.sqljet:sqljet,org.apache.derby:derby,0,FALSE
sqljet,cassandra,org.tmatesoft.sqljet:sqljet,org.apache.cassandra:cassandra-all,0,FALSE
sqljet,derby,org.tmatesoft.sqljet:sqljet,org.apache.derby:derbyclient,0,FALSE
sqljet,neo4j,org.tmatesoft.sqljet:sqljet,org.neo4j:neo4j,0,FALSE
sqljet,hbase,org.tmatesoft.sqljet:sqljet,org.apache.hbase:hbase,0,FALSE
sqljet,hsqldb,org.tmatesoft.sqljet:sqljet,hsqldb:hsqldb,0,FALSE
sqljet,sqlite-jdbc,org.tmatesoft.sqljet:sqljet,org.xerial:sqlite-jdbc,1,FALSE
sqljet,cassandra,org.tmatesoft.sqljet:sqljet,com.datastax.cassandra:cassandra-driver-core,0,FALSE
sqljet,sqlite-jdbc,org.tmatesoft.sqljet:sqljet,org.wisdom-framework:sqlite-jdbc,0,FALSE
sqljet,postgresql,org.tmatesoft.sqljet:sqljet,org.postgresql:postgresql,0,FALSE
sqljet,postgresql,org.tmatesoft.sqljet:sqljet,postgresql:postgresql,0,FALSE
sqljet,hazelcast,org.tmatesoft.sqljet:sqljet,com.hazelcast:hazelcast,0,FALSE
