fromLib,toLib,repoName,fileName,startCommit,endCommit,startCommitChanges,endCommitChanges,startCommitMessage,endCommitMessage,startCommitTime,endCommitTime
asm:asm,org.ow2.asm:asm-commons,hcoles_pitest,pitest/pom.xml,0d638d02c051094ce1e8532e83449735cf6ae2f4,0d638d02c051094ce1e8532e83449735cf6ae2f4,"+org.ow2.asm:asm-commons
+org.ow2.asm:asm-analysis
+org.ow2.asm:asm-util
+org.ow2.asm:asm
-asm:asm-analysis
-org.powermock:powermock-api-mockito
-asm:asm
-asm:asm-commons
-org.powermock:powermock-module-junit4-rule-agent
-org.powermock:powermock-module-junit4
-asm:asm-util","+org.ow2.asm:asm-commons
+org.ow2.asm:asm-analysis
+org.ow2.asm:asm-util
+org.ow2.asm:asm
-asm:asm-analysis
-org.powermock:powermock-api-mockito
-asm:asm
-asm:asm-commons
-org.powermock:powermock-module-junit4-rule-agent
-org.powermock:powermock-module-junit4
-asm:asm-util","upgrade asm to 4.0
","upgrade asm to 4.0
",2012-09-27 20:21:14+01:00,2012-09-27 20:21:14+01:00
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-slf4j-impl,svenkubiak_mangooio,mangooio-core/pom.xml,1398dd8a550447bc4519669bcc4716284b5f98ff,1398dd8a550447bc4519669bcc4716284b5f98ff,"+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.reflections:reflections
+org.apache.logging.log4j:log4j-core
-org.slf4j:slf4j-api
-ch.qos.logback:logback-classic","+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.reflections:reflections
+org.apache.logging.log4j:log4j-core
-org.slf4j:slf4j-api
-ch.qos.logback:logback-classic","#64 Moved to log4j2 for logging
","#64 Moved to log4j2 for logging
",2015-10-23 15:07:39+02:00,2015-10-23 15:07:39+02:00
ch.qos.logback:logback-classic,org.slf4j:slf4j-jdk14,mock-server_mockserver,mockserver-examples/pom.xml,7af36a5248bda4b0773a4ac7d32ba69a792bfca1,7af36a5248bda4b0773a4ac7d32ba69a792bfca1,"+org.slf4j:slf4j-jdk14
-ch.qos.logback:logback-classic","+org.slf4j:slf4j-jdk14
-ch.qos.logback:logback-classic","#659 switch logging framework from logback to Java Logger
","#659 switch logging framework from logback to Java Logger
",2019-10-27 15:34:57+00:00,2019-10-27 15:34:57+00:00
ch.qos.logback:logback-classic,org.slf4j:slf4j-jdk14,mock-server_mockserver,pom.xml,7af36a5248bda4b0773a4ac7d32ba69a792bfca1,7af36a5248bda4b0773a4ac7d32ba69a792bfca1,"+org.slf4j:slf4j-jdk14
-ch.qos.logback:logback-classic","+org.slf4j:slf4j-jdk14
-ch.qos.logback:logback-classic","#659 switch logging framework from logback to Java Logger
","#659 switch logging framework from logback to Java Logger
",2019-10-27 15:34:57+00:00,2019-10-27 15:34:57+00:00
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-slf4j-impl,ronenhamias_scalecube-services,testlib/pom.xml,e70db371e3cf850bbeb7fd4eef3a63ed4d1af288,e70db371e3cf850bbeb7fd4eef3a63ed4d1af288,"+org.slf4j:slf4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic","+org.slf4j:slf4j-api
+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic","Added log4j2 instead logback (#76)

* Added log4j2 instead logback

* Put log4-test cfg into every module with tests; updated poms

* Put dependency on log4j only in test lib
","Added log4j2 instead logback (#76)

* Added log4j2 instead logback

* Put log4-test cfg into every module with tests; updated poms

* Put dependency on log4j only in test lib
",2016-08-21 13:48:23+03:00,2016-08-21 13:48:23+03:00
ch.qos.logback:logback-classic,org.slf4j:jcl-over-slf4j,RoboZonky_robozonky,robozonky-integration-zonkoid/pom.xml,191b531522dc6e259802dab6d8ca4c0e64d39581,9bf2f39aa5109ab5d0877b923e26a7412b26b8c0,"+com.github.triceo.robozonky:robozonky-api
+org.slf4j:jcl-over-slf4j
+org.assertj:assertj-core
+ch.qos.logback:logback-classic
+org.mock-server:mockserver-netty
+org.mockito:mockito-core
+org.apache.httpcomponents:httpclient
+org.junit.vintage:junit-vintage-engine
+org.slf4j:slf4j-api","+org.apache.logging.log4j:log4j-slf4j-impl
-org.apache.logging.log4j:log4j-api
-org.apache.logging.log4j:log4j-to-slf4j
-ch.qos.logback:logback-classic","Initial implementation of Zonkoid support (closes #72)

This commit introduces a generic mechanism through which remote services could be asked to provide a final decision on whether or not an investment should be made. There is one implementation of such service, Zonkoid - the support in Zonkoid mobile app is a work in progress.

Furthermore, strategies can now decide whether or not their investments require confirmation using the above mechanism.

And last but not least, because this is a major change, this commit increases mutation coverage to 85 % across al modules.
","Replace Logback with Log4j 2
",2016-12-18 00:03:42+01:00,2019-04-14 17:41:53+02:00
ch.qos.logback:logback-classic,org.slf4j:slf4j-simple,smallrye_smallrye-reactive-messaging,smallrye-reactive-messaging-amqp/pom.xml,50073c8d58db3295251a5df0ab0c26636366a912,50073c8d58db3295251a5df0ab0c26636366a912,"+org.slf4j:slf4j-simple
-org.slf4j:slf4j-api
-ch.qos.logback:logback-classic","+org.slf4j:slf4j-simple
-org.slf4j:slf4j-api
-ch.qos.logback:logback-classic","Replace log4j2 with slf4j

Reduce the size of the dependencies
","Replace log4j2 with slf4j

Reduce the size of the dependencies
",2018-12-21 13:37:07+01:00,2018-12-21 13:37:07+01:00
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,apache_directmemory,integrations/solr/pom.xml,b08f093a4cea4e0b81abe0bdcfb47f19a67edc9e,b08f093a4cea4e0b81abe0bdcfb47f19a67edc9e,"+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic
-ch.qos.logback:logback-core","+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic
-ch.qos.logback:logback-core","use log4j2 rather than logback for testing

git-svn-id: https://svn.apache.org/repos/asf/directmemory/trunk@1497328 13f79535-47bb-0310-9956-ffa450edef68
","use log4j2 rather than logback for testing

git-svn-id: https://svn.apache.org/repos/asf/directmemory/trunk@1497328 13f79535-47bb-0310-9956-ffa450edef68
",2013-06-27 12:37:26+00:00,2013-06-27 12:37:26+00:00
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-slf4j-impl,apache_directmemory,server/directmemory-server/pom.xml,b08f093a4cea4e0b81abe0bdcfb47f19a67edc9e,b08f093a4cea4e0b81abe0bdcfb47f19a67edc9e,"+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic
-ch.qos.logback:logback-core","+org.apache.logging.log4j:log4j-slf4j-impl
+org.apache.logging.log4j:log4j-core
-ch.qos.logback:logback-classic
-ch.qos.logback:logback-core","use log4j2 rather than logback for testing

git-svn-id: https://svn.apache.org/repos/asf/directmemory/trunk@1497328 13f79535-47bb-0310-9956-ffa450edef68
","use log4j2 rather than logback for testing

git-svn-id: https://svn.apache.org/repos/asf/directmemory/trunk@1497328 13f79535-47bb-0310-9956-ffa450edef68
",2013-06-27 12:37:26+00:00,2013-06-27 12:37:26+00:00
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-api,hsiafan_requests,pom.xml,22e3f426120edbd8f1b9e1f5b976bcbed5fcb8ed,22e3f426120edbd8f1b9e1f5b976bcbed5fcb8ed,"+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-core
-org.slf4j:slf4j-api
-org.eclipse.jetty:jetty-server
-ch.qos.logback:logback-classic","+org.apache.logging.log4j:log4j-api
+org.apache.logging.log4j:log4j-core
-org.slf4j:slf4j-api
-org.eclipse.jetty:jetty-server
-ch.qos.logback:logback-classic","use log4j2
","use log4j2
",2016-11-03 16:24:02+08:00,2016-11-03 16:24:02+08:00
